value,designator,barcode,,mean,0.028377573,,,,
0.0302,U3_1,"	M0540064PI27407903U",,,,,,,
0.0276,U3_1,"	M0540064PI27407903R",,,,,,,
0.0295,U3_1,"	M0540064PI27407901Z",,,,,,,
0.0299,U3_1,"	M0540064PI27407903K",,,,,,,
0.0297,U3_1,"	M0540064PI27407903C",,,,,,,
0.0288,U3_1,"	M0540064PI27407903F",,,,,,,
0.028,U3_1,"	M0540064PI27407903D",,,,,,,
0.0277,U3_1,"	M0540064PI27407902R",,,,,,,
0.029,U3_1,"	M0540064PI274079044",,,,,,,
0.0294,U3_1,"	M0540064PI27407901S",,,,,,,
0.0283,U3_1,"	M0540064PI27407900A",,,,,,,
0.0283,U3_1,"	M0540064PI27407902Y",,,,,,,
0.0271,U3_1,"	M0540064PI27407900F",,,,,,,
0.0291,U3_1,"	M0540064PI27407901E",,,,,,,
0.027,U3_1,"	M0540064PI27407901F",,,,,,,
0.0271,U3_1,"	M0540064PI27407900W",,,,,,,
0.0265,U3_1,"	M0540064PI27407900Y",,,,,,,
0.0261,U3_1,"	M0540064PI27407900D",,,,,,,
0.0258,U3_1,"	M0540064PI27407901G",,,,,,,
0.0305,U3_1,"	M0540064PI27407900B",,,,,,,
0.0279,U3_1,"	M0540064PI27407900C",,,,,,,
0.0308,U3_1,"	M0540064PI274079001",,,,,,,
0.0248,U3_1,"	M0540064PI27407900Z",,,,,,,
0.0275,U3_1,"	M0540064PI274079013",,,,,,,
0.0253,U3_1,"	M0540064PI27407900H",,,,,,,
0.025,U3_1,"	M0540064PI274079017",,,,,,,
0.0266,U3_1,"	M0540064PI274079012",,,,,,,
0.0256,U3_1,"	M0540064PI274079010",,,,,,,
0.0254,U3_1,"	M0540064PI274079009",,,,,,,
0.026,U3_1,"	M0540064PI27407901K",,,,,,,
0.0263,U3_1,"	M0540064PI274079008",,,,,,,
0.026,U3_1,"	M0540064PI274079007",,,,,,,
0.0274,U3_1,"	M0540064PI274079016",,,,,,,
0.0255,U3_1,"	M0540064PI274079003",,,,,,,
0.027,U3_1,"	M0540064PI274079011",,,,,,,
0.0263,U3_1,"	M0540064PI27407900E",,,,,,,
0.0278,U3_1,"	M0540064PI27407900N",,,,,,,
0.0263,U3_1,"	M0540064PI274079033",,,,,,,
0.0265,U3_1,"	M0540064PI27407902X",,,,,,,
0.0279,U3_1,"	M0540064PI27407902U",,,,,,,
0.029,U3_1,"	M0540064PI27407902N",,,,,,,
0.026,U3_1,"	M0540064PI27407901X",,,,,,,
0.027,U3_1,"	M0540064PI27407901W",,,,,,,
0.0279,U3_1,"	M0540064PI274079028",,,,,,,
0.0263,U3_1,"	M0540064PI27407901V",,,,,,,
0.0264,U3_1,"	M0540064PI274079019",,,,,,,
0.0268,U3_1,"	M0540064PI27407901M",,,,,,,
0.0275,U3_1,"	M0540064PI27407901P",,,,,,,
0.0272,U3_1,"	M0540064PI27407901U",,,,,,,
0.027,U3_1,"	M0540064PI274079020",,,,,,,
0.0286,U3_1,"	M0540064PI27407900S",,,,,,,
