value,designator,barcode,,mean,0.164993062,,,,
0.1649,UD8_1,"	M0540064PI27407900A",,,,,,,
0.1597,UD8_1,"	M0540064PI27407902Y",,,,,,,
0.1501,UD8_1,"	M0540064PI27407900F",,,,,,,
0.1512,UD8_1,"	M0540064PI27407901E",,,,,,,
0.1522,UD8_1,"	M0540064PI27407901F",,,,,,,
0.1819,UD8_1,"	M0540064PI27407900W",,,,,,,
0.1784,UD8_1,"	M0540064PI27407900Y",,,,,,,
0.1472,UD8_1,"	M0540064PI27407900D",,,,,,,
0.1479,UD8_1,"	M0540064PI27407901G",,,,,,,
0.1521,UD8_1,"	M0540064PI27407900B",,,,,,,
0.1626,UD8_1,"	M0540064PI27407900C",,,,,,,
0.1591,UD8_1,"	M0540064PI274079001",,,,,,,
0.1579,UD8_1,"	M0540064PI27407900Z",,,,,,,
0.1595,UD8_1,"	M0540064PI274079013",,,,,,,
0.2001,UD8_1,"	M0540064PI27407900H",,,,,,,
0.1641,UD8_1,"	M0540064PI274079017",,,,,,,
0.174,UD8_1,"	M0540064PI274079012",,,,,,,
0.1529,UD8_1,"	M0540064PI274079010",,,,,,,
0.1577,UD8_1,"	M0540064PI274079009",,,,,,,
0.1469,UD8_1,"	M0540064PI27407901K",,,,,,,
0.1547,UD8_1,"	M0540064PI274079008",,,,,,,
0.1428,UD8_1,"	M0540064PI274079007",,,,,,,
0.1445,UD8_1,"	M0540064PI274079016",,,,,,,
0.1354,UD8_1,"	M0540064PI274079003",,,,,,,
0.1662,UD8_1,"	M0540064PI274079011",,,,,,,
0.1571,UD8_1,"	M0540064PI27407900E",,,,,,,
0.1584,UD8_1,"	M0540064PI27407900N",,,,,,,
0.1738,UD8_1,"	M0540064PI274079033",,,,,,,
0.1413,UD8_1,"	M0540064PI27407902X",,,,,,,
0.1619,UD8_1,"	M0540064PI27407902U",,,,,,,
0.1522,UD8_1,"	M0540064PI27407902N",,,,,,,
0.1455,UD8_1,"	M0540064PI27407901X",,,,,,,
0.1573,UD8_1,"	M0540064PI27407901W",,,,,,,
0.1642,UD8_1,"	M0540064PI274079028",,,,,,,
0.1605,UD8_1,"	M0540064PI27407901V",,,,,,,
0.151,UD8_1,"	M0540064PI274079019",,,,,,,
0.2019,UD8_1,"	M0540064PI27407901M",,,,,,,
0.1429,UD8_1,"	M0540064PI27407901P",,,,,,,
0.1672,UD8_1,"	M0540064PI27407901U",,,,,,,
0.1643,UD8_1,"	M0540064PI274079020",,,,,,,
0.1667,UD8_1,"	M0540064PI27407900S",,,,,,,
0.1687,UD8_1,"	M0540064PI27407900V",,,,,,,
0.1537,UD8_1,"	M0540064PI27407901L",,,,,,,
0.1862,UD8_1,"	M0540064PI274079023",,,,,,,
0.1456,UD8_1,"	M0540064PI27407901N",,,,,,,
0.1486,UD8_1,"	M0540064PI27407901J",,,,,,,
0.1868,UD8_1,"	M0540064PI27407901R",,,,,,,
0.1509,UD8_1,"	M0540064PI27407902T",,,,,,,
0.1553,UD8_1,"	M0540064PI274079025",,,,,,,
0.1498,UD8_1,"	M0540064PI27407902S",,,,,,,
0.1643,UD8_1,"	M0540064PI27407902M",,,,,,,
0.1538,UD8_1,"	M0540064PI27407904D",,,,,,,
0.1761,UD8_1,"	M0540064PI27407903Z",,,,,,,
0.1728,UD8_1,"	M0540064PI274079029",,,,,,,
0.1509,UD8_1,"	M0540064PI27407901C",,,,,,,
0.1601,UD8_1,"	M0540064PI274079036",,,,,,,
0.1686,UD8_1,"	M0540064PI274079049",,,,,,,
0.1495,UD8_1,"	M0540064PI27407904E",,,,,,,
0.1429,UD8_1,"	M0540064PI27407904B",,,,,,,
0.169,UD8_1,"	M0540064PI27407903P",,,,,,,
0.1534,UD8_1,"	M0540064PI27407902E",,,,,,,
0.1466,UD8_1,"	M0540064PI27407902C",,,,,,,
0.1731,UD8_1,"	M0540064PI27407902D",,,,,,,
0.1681,UD8_1,"	M0540064PI27407902A",,,,,,,
0.1418,UD8_1,"	M0540064PI27407904J",,,,,,,
0.1364,UD8_1,"	M0540064PI274079021",,,,,,,
0.1646,UD8_1,"	M0540064PI27407904K",,,,,,,
0.151,UD8_1,"	M0540064PI27407904M",,,,,,,
0.1541,UD8_1,"	M0540064PI27407904N",,,,,,,
0.1412,UD8_1,"	M0540064PI27407904G",,,,,,,
0.1532,UD8_1,"	M0540064PI27407904H",,,,,,,
0.1537,UD8_1,"	M0540064PI27407900J",,,,,,,
0.1745,UD8_1,"	M0540064PI27407901D",,,,,,,
0.1671,UD8_1,"	M0540064PI274079022",,,,,,,
0.1927,UD8_1,"	M0540064PI274079026",,,,,,,
0.1476,UD8_1,"	M0540064PI274079045",,,,,,,
0.1542,UD8_1,"	M0540064PI27407904C",,,,,,,
0.2252,UD8_1,"	M0540064PI27407904A",,,,,,,
0.1483,UD8_1,"	M0540064PI27407902K",,,,,,,
0.1596,UD8_1,"	M0540064PI27407902L",,,,,,,
0.1722,UD8_1,"	M0540064PI27407902J",,,,,,,
0.1812,UD8_1,"	M0540064PI27407902V",,,,,,,
0.1687,UD8_1,"	M0540064PI27407904F",,,,,,,
0.1588,UD8_1,"	M0540064PI274079048",,,,,,,
0.1486,UD8_1,"	M0540064PI274079042",,,,,,,
0.1577,UD8_1,"	M0540064PI274079040",,,,,,,
0.1699,UD8_1,"	M0540064PI274079047",,,,,,,
0.1768,UD8_1,"	M0540064PI274079043",,,,,,,
0.1482,UD8_1,"	M0540064PI27407903Y",,,,,,,
0.1511,UD8_1,"	M0540064PI274079046",,,,,,,
0.1516,UD8_1,"	M0540064PI27407903U",,,,,,,
0.1571,UD8_1,"	M0540064PI27407903R",,,,,,,
0.1489,UD8_1,"	M0540064PI27407901Z",,,,,,,
0.1375,UD8_1,"	M0540064PI27407903K",,,,,,,
0.1469,UD8_1,"	M0540064PI27407903C",,,,,,,
0.1527,UD8_1,"	M0540064PI27407903F",,,,,,,
0.1376,UD8_1,"	M0540064PI27407903D",,,,,,,
0.1694,UD8_1,"	M0540064PI27407902R",,,,,,,
0.2043,UD8_1,"	M0540064PI274079044",,,,,,,
0.1748,UD8_1,"	M0540064PI27407901S",,,,,,,
0.1682,UD8_1,"	M0540064PI27407900A",,,,,,,
