value,designator,barcode,,mean,0.0296015,,,,
0.0307,UD8_1,"	M0540064PI27407901V",,,,,,,
0.0276,UD8_1,"	M0540064PI274079019",,,,,,,
0.0326,UD8_1,"	M0540064PI27407901M",,,,,,,
0.0285,UD8_1,"	M0540064PI27407901P",,,,,,,
0.0318,UD8_1,"	M0540064PI27407901U",,,,,,,
0.0309,UD8_1,"	M0540064PI274079020",,,,,,,
0.028,UD8_1,"	M0540064PI27407900S",,,,,,,
0.0334,UD8_1,"	M0540064PI27407900V",,,,,,,
0.0283,UD8_1,"	M0540064PI27407901L",,,,,,,
0.0339,UD8_1,"	M0540064PI274079023",,,,,,,
0.028,UD8_1,"	M0540064PI27407901N",,,,,,,
0.0324,UD8_1,"	M0540064PI27407901J",,,,,,,
0.0269,UD8_1,"	M0540064PI27407901R",,,,,,,
0.0293,UD8_1,"	M0540064PI27407902T",,,,,,,
0.0312,UD8_1,"	M0540064PI274079025",,,,,,,
